,Function,Use,Sharing,Reporting,Student_Type,Position_Type,Object_Type,Pre_K,Operating_Status
169733,Professional Development,ISPD,School Reported,School,Unspecified,NO_LABEL,Travel & Conferences,NO_LABEL,PreK-12 Operating
315704,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
60928,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
169907,Utilities,O&M,School Reported,School,Unspecified,NO_LABEL,Rent/Utilities,NO_LABEL,PreK-12 Operating
434379,School Administration,Leadership,School Reported,School,Unspecified,NO_LABEL,Rent/Utilities,NO_LABEL,PreK-12 Operating
106847,Facilities & Maintenance,O&M,Shared Services,Non-School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
76944,Professional Development,ISPD,School on Central Budgets,Non-School,Special Education,NO_LABEL,Travel & Conferences,NO_LABEL,PreK-12 Operating
46693,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating
13007,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
95258,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
342326,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating
319158,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
255176,Instructional Materials & Supplies,Instruction,School Reported,School,Poverty,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating
412081,Enrichment,Pupil Services & Enrichment,School Reported,School,Unspecified,Club Advisor/Coach,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
258757,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
163972,Student Transportation,NO_LABEL,Shared Services,Non-School,NO_LABEL,Other,NO_LABEL,NO_LABEL,PreK-12 Operating
168116,School Administration,Leadership,School Reported,School,Unspecified,Sec/Clerk/Other Admin,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
449156,Enrichment,Pupil Services & Enrichment,School Reported,School,Unspecified,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
398970,Professional Development,ISPD,School Reported,School,Unspecified,Other,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
324210,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,"Operating, Not PreK-12"
405782,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
172355,Aides Compensation,Instruction,School Reported,School,Unspecified,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
55357,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
383772,Career & Academic Counseling,Pupil Services & Enrichment,School Reported,School,Unspecified,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating
327834,Facilities Planning,Business Services,Leadership & Management,Non-School,Unspecified,NO_LABEL,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
57127,Security & Safety,O&M,School Reported,School,Unspecified,NO_LABEL,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
170883,Special Population Program Management & Support,ISPD,School on Central Budgets,Non-School,Special Education,Psychologist,Base Salary/Compensation,Non PreK,PreK-12 Operating
5515,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating
66884,"Finance, Budget, Purchasing & Distribution",Business Services,Leadership & Management,Non-School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
133110,Special Population Program Management & Support,ISPD,Shared Services,Non-School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
306672,Enrichment,Pupil Services & Enrichment,Leadership & Management,Non-School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating
291724,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
257328,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating
20012,Substitute Compensation,Instruction,School Reported,School,Special Education,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating
91446,Social & Emotional,Pupil Services & Enrichment,School Reported,School,Unspecified,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
297897,Student Transportation,O&M,Shared Services,Non-School,Special Education,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
6208,Extended Time & Tutoring,Instruction,School Reported,School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
391654,Enrichment,Pupil Services & Enrichment,School Reported,School,Unspecified,Other,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
374424,Teacher Compensation,Instruction,School Reported,School,NO_LABEL,Teacher,NO_LABEL,NO_LABEL,PreK-12 Operating
403856,Instructional Materials & Supplies,Instruction,School Reported,School,Gifted,NO_LABEL,Supplies/Materials,Non PreK,PreK-12 Operating
27771,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating
236424,Enrichment,Pupil Services & Enrichment,School Reported,School,Unspecified,NO_LABEL,Other Compensation/Stipend,Non PreK,PreK-12 Operating
314912,Student Transportation,O&M,Shared Services,Non-School,Special Education,Other,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
197421,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,Non PreK,PreK-12 Operating
186273,Professional Development,ISPD,School on Central Budgets,Non-School,Unspecified,Non-Position,Other Compensation/Stipend,Non PreK,PreK-12 Operating
7093,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
147912,Library & Media,Instruction,School Reported,School,Unspecified,Librarian,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
208608,Career & Academic Counseling,Pupil Services & Enrichment,School Reported,School,Unspecified,Guidance Counselor,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
419842,Professional Development,ISPD,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
347395,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
218348,Career & Academic Counseling,Pupil Services & Enrichment,School Reported,School,Unspecified,Guidance Counselor,Base Salary/Compensation,Non PreK,PreK-12 Operating
254217,Aides Compensation,Instruction,School Reported,School,Special Education,TA,Benefits,NO_LABEL,PreK-12 Operating
396706,Food Services,O&M,Shared Services,School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
392498,Teacher Compensation,Instruction,School on Central Budgets,Non-School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating
166322,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
317489,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating
263818,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
338813,Teacher Compensation,Instruction,School Reported,School,NO_LABEL,Teacher,NO_LABEL,NO_LABEL,PreK-12 Operating
247382,Professional Development,NO_LABEL,Shared Services,Non-School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
68665,Extended Time & Tutoring,Instruction,School Reported,School,Unspecified,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating
332428,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
274622,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
30031,Special Population Program Management & Support,NO_LABEL,Shared Services,Non-School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
230595,Data Processing & Information Services,Business Services,School Reported,School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
287063,Enrichment,Pupil Services & Enrichment,School Reported,School,Unspecified,NO_LABEL,Rent/Utilities,NO_LABEL,PreK-12 Operating
104945,Facilities & Maintenance,O&M,School Reported,School,Unspecified,NO_LABEL,Contracted Services,PreK,PreK-12 Operating
255231,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
335367,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
304352,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating
214617,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
261180,Food Services,O&M,School Reported,School,Unspecified,Non-Position,Other Non-Compensation,NO_LABEL,PreK-12 Operating
87619,Aides Compensation,Instruction,School Reported,School,ELL,TA,Benefits,NO_LABEL,PreK-12 Operating
323207,Substitute Compensation,Instruction,NO_LABEL,Non-School,NO_LABEL,Substitute,Substitute Compensation,NO_LABEL,PreK-12 Operating
370901,Instructional Materials & Supplies,Instruction,School Reported,School,Special Education,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
418236,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
442904,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
258109,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
324283,School Administration,Leadership,School Reported,School,Poverty,Vice Principal,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
358243,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
437839,Enrichment,Pupil Services & Enrichment,School Reported,School,Unspecified,Club Advisor/Coach,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
342969,Facilities & Maintenance,O&M,School Reported,School,Unspecified,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating
324716,Teacher Compensation,Instruction,School Reported,School,Special Education,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
128800,Professional Development,ISPD,School Reported,School,Unspecified,Instructional Coach,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
350587,Aides Compensation,Instruction,School Reported,School,Unspecified,TA,Base Salary/Compensation,Non PreK,PreK-12 Operating
182316,Teacher Compensation,Instruction,School on Central Budgets,Non-School,Unspecified,NO_LABEL,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
70710,Substitute Compensation,Instruction,School Reported,School,ELL,Substitute,Benefits,PreK,PreK-12 Operating
293349,Enrichment,Pupil Services & Enrichment,School Reported,School,Unspecified,Club Advisor/Coach,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
22903,Enrichment,NO_LABEL,School Reported,School,NO_LABEL,Club Advisor/Coach,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
353774,Special Population Program Management & Support,ISPD,School Reported,School,Special Education,Other,Other Compensation/Stipend,Non PreK,PreK-12 Operating
436625,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
230498,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
361477,Other Non-Compensation,Instruction,School Reported,School,Unspecified,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating
384805,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
384416,Professional Development,ISPD,School Reported,School,Poverty,NO_LABEL,Travel & Conferences,NO_LABEL,PreK-12 Operating
368415,Aides Compensation,Instruction,School Reported,School,Unspecified,TA,Benefits,NO_LABEL,PreK-12 Operating
108935,Instructional Materials & Supplies,Instruction,School Reported,School,Special Education,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
178758,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
237975,Food Services,O&M,Shared Services,School,Unspecified,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating
152344,Extended Time & Tutoring,Instruction,School Reported,School,Poverty,NO_LABEL,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
115575,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
61316,School Administration,Leadership,School Reported,School,Unspecified,Vice Principal,Benefits,NO_LABEL,PreK-12 Operating
408784,Student Transportation,O&M,Shared Services,Non-School,Special Education,Other,Other Compensation/Stipend,Non PreK,PreK-12 Operating
273831,Instructional Materials & Supplies,Instruction,School Reported,School,NO_LABEL,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating
3220,Teacher Compensation,Instruction,School Reported,School,Unspecified,NO_LABEL,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
327182,Enrichment,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
172545,Enrichment,Pupil Services & Enrichment,School Reported,School,Poverty,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating
39848,Curriculum Development,ISPD,School Reported,School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
281504,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,Non-Position,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating
275346,Food Services,O&M,Shared Services,School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
58005,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
213793,School Administration,Leadership,School Reported,School,Unspecified,Sec/Clerk/Other Admin,Base Salary/Compensation,Non PreK,PreK-12 Operating
315241,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating
110144,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
38497,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
229878,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating
68090,Extended Time & Tutoring,Instruction,School Reported,School,At Risk,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating
283276,Substitute Compensation,Instruction,School Reported,School,Special Education,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating
378182,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,PreK,PreK-12 Operating
441782,Aides Compensation,Instruction,School Reported,School,Poverty,TA,Other Compensation/Stipend,Non PreK,PreK-12 Operating
237777,Social & Emotional,Pupil Services & Enrichment,School Reported,School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
13824,Parent & Community Relations,Pupil Services & Enrichment,Leadership & Management,Non-School,ELL,NO_LABEL,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
446795,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
318574,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
303353,NO_LABEL,NO_LABEL,School Reported,School,NO_LABEL,Non-Position,NO_LABEL,NO_LABEL,PreK-12 Operating
22495,Aides Compensation,Instruction,School Reported,School,Special Education,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
202339,Aides Compensation,Instruction,School Reported,School,Special Education,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
184059,Facilities & Maintenance,O&M,Leadership & Management,Non-School,Unspecified,Custodian,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
167058,School Administration,Leadership,School Reported,School,Unspecified,NO_LABEL,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
